Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
ERR11212265,2023-04-13 18:33:50,,0,0,0,0,0,,,ERX10639772,B2_B1,WGS,RANDOM PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,ERP133545,PRJEB49091,,818597,ERS9769379,SAMEA12122754,simple,9606,Homo sapiens,SAMEA12122754,,,,,,,no,,,,,UPF-CSIC,ERA21792894,,public,,
ERR11212270,2023-04-13 18:33:50,,0,0,0,0,0,,,ERX10639777,B2_B1,WGS,RANDOM PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,ERP133545,PRJEB49091,,818597,ERS9769379,SAMEA12122754,simple,9606,Homo sapiens,SAMEA12122754,,,,,,,no,,,,,UPF-CSIC,ERA21792894,,public,,
ERR11212266,2023-04-13 18:33:50,,0,0,0,0,0,,,ERX10639773,B2_B3,WGS,RANDOM PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,ERP133545,PRJEB49091,,818597,ERS9769380,SAMEA12122755,simple,9606,Homo sapiens,SAMEA12122755,,,,,,,no,,,,,UPF-CSIC,ERA21792894,,public,,
ERR11212268,2023-04-13 18:33:50,,0,0,0,0,0,,,ERX10639775,B2_B6,WGS,RANDOM PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,ERP133545,PRJEB49091,,818597,ERS9769382,SAMEA12122757,simple,9606,Homo sapiens,SAMEA12122757,,,,,,,no,,,,,UPF-CSIC,ERA21792894,,public,,
ERR11212271,2023-04-13 18:33:50,,0,0,0,0,0,,,ERX10639778,B2_B6,WGS,RANDOM PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,ERP133545,PRJEB49091,,818597,ERS9769382,SAMEA12122757,simple,9606,Homo sapiens,SAMEA12122757,,,,,,,no,,,,,UPF-CSIC,ERA21792894,,public,,
ERR11212272,2023-04-13 18:33:50,,0,0,0,0,0,,,ERX10639779,B2_B7,WGS,RANDOM PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,ERP133545,PRJEB49091,,818597,ERS9769383,SAMEA12122758,simple,9606,Homo sapiens,SAMEA12122758,,,,,,,no,,,,,UPF-CSIC,ERA21792894,,public,,
ERR11212269,2023-04-13 18:33:50,,0,0,0,0,0,,,ERX10639776,B2_B7,WGS,RANDOM PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,ERP133545,PRJEB49091,,818597,ERS9769383,SAMEA12122758,simple,9606,Homo sapiens,SAMEA12122758,,,,,,,no,,,,,UPF-CSIC,ERA21792894,,public,,
SRR24138618,2023-04-12 04:18:10,2023-04-12 04:13:11,14060158,2812031600,14060158,200,1708,,https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR24138618/SRR24138618,SRX19937359,AM27_Norway_Atlantic_Spring_rg3,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP269168,PRJNA642736,,642736,SRS17286099,SAMN34152206,simple,7950,Clupea harengus,AM27_Norway_Atlantic_Spring,,,,,male,,no,,,,,UPPSALA UNIVERSITY,SRA1619254,,public,1DECBF3186B9738C4786514FB112F46B,77EF0D83264794FDFB94998F719348F8
SRR24138629,2023-04-12 04:15:06,2023-04-12 04:10:09,14771841,2954368200,14771841,200,1783,,https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR24138629/SRR24138629,SRX19937348,AM27_Norway_Atlantic_Spring_rg2,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP269168,PRJNA642736,,642736,SRS17286099,SAMN34152206,simple,7950,Clupea harengus,AM27_Norway_Atlantic_Spring,,,,,male,,no,,,,,UPPSALA UNIVERSITY,SRA1619254,,public,307AE63867AB76820A0CDAECE86E534C,CB649CAD5D7C77A6AF396EFC05AD160A
SRR24138634,2023-04-12 04:10:58,2023-04-12 04:07:44,16802199,3278195955,16802199,195,2047,,https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR24138634/SRR24138634,SRX19937343,PB8_Pacific_Pacific_Spring_rg9,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP269168,PRJNA642736,,642736,SRS17286108,SAMN34152189,simple,30724,Clupea pallasii,PB8_Pacific_Pacific_Spring,,,,,pooled male and female,,no,,,,,UPPSALA UNIVERSITY,SRA1619254,,public,F0C378F2C3F17C3A39834C39F2B86A11,BB345D2E4B935577107E857D6D705B3B
SRR24138635,2023-04-12 04:10:58,2023-04-12 04:08:53,14320154,2766874168,14320154,193,1849,,https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR24138635/SRR24138635,SRX19937342,PB8_Pacific_Pacific_Spring_rg8,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP269168,PRJNA642736,,642736,SRS17286108,SAMN34152189,simple,30724,Clupea pallasii,PB8_Pacific_Pacific_Spring,,,,,pooled male and female,,no,,,,,UPPSALA UNIVERSITY,SRA1619254,,public,111CF26C653408BB14F8653B914C0360,961A9624758453569BDBD9866668992F
SRR24138636,2023-04-12 04:10:58,2023-04-12 04:07:23,14300347,2763099580,14300347,193,1847,,https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR24138636/SRR24138636,SRX19937341,PB8_Pacific_Pacific_Spring_rg7,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP269168,PRJNA642736,,642736,SRS17286108,SAMN34152189,simple,30724,Clupea pallasii,PB8_Pacific_Pacific_Spring,,,,,pooled male and female,,no,,,,,UPPSALA UNIVERSITY,SRA1619254,,public,989FA71266E3CEB25C0119BD5C6F28E4,E8BEE8DBA8BB0D6E7B5145F3818A9221
SRR24138637,2023-04-12 04:18:10,2023-04-12 04:13:14,14415113,2784698838,14415113,193,1862,,https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR24138637/SRR24138637,SRX19937340,PB8_Pacific_Pacific_Spring_rg6,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP269168,PRJNA642736,,642736,SRS17286108,SAMN34152189,simple,30724,Clupea pallasii,PB8_Pacific_Pacific_Spring,,,,,pooled male and female,,no,,,,,UPPSALA UNIVERSITY,SRA1619254,,public,6DD474E27E590BBA84AF9FD09ECE7920,C178DA14B915CD026C97E37C6BF863DE
SRR24138630,2023-04-12 04:15:06,2023-04-12 04:09:47,18060551,3524684925,18060551,195,2177,,https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR24138630/SRR24138630,SRX19937347,PB9_Kattegat_Atlantic_Spring_rg2,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP269168,PRJNA642736,,642736,SRS17286118,SAMN34152193,simple,7950,Clupea harengus,PB9_Kattegat_Atlantic_Spring,,,,,pooled male and female,,no,,,,,UPPSALA UNIVERSITY,SRA1619254,,public,A2CBA36BC4893F785DC5BFED265FDFD0,840F82147A71F04554B7EB4084F063AE
SRR24138631,2023-04-12 04:10:58,2023-04-12 04:07:58,17689833,3453230497,17689833,195,2132,,https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR24138631/SRR24138631,SRX19937346,PB9_Kattegat_Atlantic_Spring_rg1,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP269168,PRJNA642736,,642736,SRS17286118,SAMN34152193,simple,7950,Clupea harengus,PB9_Kattegat_Atlantic_Spring,,,,,pooled male and female,,no,,,,,UPPSALA UNIVERSITY,SRA1619254,,public,46BE4AD1C9CF2FA573B31ADE491BD66D,364DC4C58CAC78484246C41660ABA748
SRR24138632,2023-04-12 04:10:58,2023-04-12 04:08:14,18516548,3615992410,18516548,195,2219,,https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR24138632/SRR24138632,SRX19937345,PB9_Kattegat_Atlantic_Spring_rg11,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP269168,PRJNA642736,,642736,SRS17286118,SAMN34152193,simple,7950,Clupea harengus,PB9_Kattegat_Atlantic_Spring,,,,,pooled male and female,,no,,,,,UPPSALA UNIVERSITY,SRA1619254,,public,AAE81515E3CB6C219C4241D51E3BF7E9,AADA074D96B9718914873BC3DF75E39F
SRR24138633,2023-04-12 04:15:06,2023-04-12 04:09:55,18210679,3556162518,18210679,195,2178,,https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR24138633/SRR24138633,SRX19937344,PB9_Kattegat_Atlantic_Spring_rg10,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP269168,PRJNA642736,,642736,SRS17286118,SAMN34152193,simple,7950,Clupea harengus,PB9_Kattegat_Atlantic_Spring,,,,,pooled male and female,,no,,,,,UPPSALA UNIVERSITY,SRA1619254,,public,7A51CCDD89B53DB0B5B33A51FAD6501D,AB7529E822A5E89576D971F13F3061E8
SRR24138622,2023-04-12 04:32:06,2023-04-12 04:28:13,19018225,3710031082,19018225,195,2300,,https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR24138622/SRR24138622,SRX19937355,PB9_Kattegat_Atlantic_Spring_rg9,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP269168,PRJNA642736,,642736,SRS17286118,SAMN34152193,simple,7950,Clupea harengus,PB9_Kattegat_Atlantic_Spring,,,,,pooled male and female,,no,,,,,UPPSALA UNIVERSITY,SRA1619254,,public,F6BD76C44CD1A0AC14D50780DFE513D1,660429F6BD7E0B4CAF20A1544089BF3F
SRR24138623,2023-04-12 04:18:10,2023-04-12 04:11:30,16377094,3166348225,16377094,193,2103,,https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR24138623/SRR24138623,SRX19937354,PB9_Kattegat_Atlantic_Spring_rg8,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP269168,PRJNA642736,,642736,SRS17286118,SAMN34152193,simple,7950,Clupea harengus,PB9_Kattegat_Atlantic_Spring,,,,,pooled male and female,,no,,,,,UPPSALA UNIVERSITY,SRA1619254,,public,3609BE5EBBA49251AF8C079203DC1654,AB2403D644DC603D4690CE8C43518ADE
SRR24138624,2023-04-12 04:10:58,2023-04-12 04:09:11,16316576,3155105638,16316576,193,2095,,https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR24138624/SRR24138624,SRX19937353,PB9_Kattegat_Atlantic_Spring_rg7,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP269168,PRJNA642736,,642736,SRS17286118,SAMN34152193,simple,7950,Clupea harengus,PB9_Kattegat_Atlantic_Spring,,,,,pooled male and female,,no,,,,,UPPSALA UNIVERSITY,SRA1619254,,public,EC87FCCDD69AE8D515D4CF4721FC323E,7FFAD8C9FBC4D05EB0DB1D253D1F2E8B
SRR24138625,2023-04-12 04:10:58,2023-04-12 04:09:41,16441742,3178304105,16441742,193,2111,,https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR24138625/SRR24138625,SRX19937352,PB9_Kattegat_Atlantic_Spring_rg6,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP269168,PRJNA642736,,642736,SRS17286118,SAMN34152193,simple,7950,Clupea harengus,PB9_Kattegat_Atlantic_Spring,,,,,pooled male and female,,no,,,,,UPPSALA UNIVERSITY,SRA1619254,,public,F794754FFAF565D2250D3EBF37E4211F,FF1B05562EFA30807FBE11BBD96ED7FD
SRR24138626,2023-04-12 04:18:10,2023-04-12 04:12:36,16566170,3203538378,16566170,193,2126,,https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR24138626/SRR24138626,SRX19937351,PB9_Kattegat_Atlantic_Spring_rg5,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP269168,PRJNA642736,,642736,SRS17286118,SAMN34152193,simple,7950,Clupea harengus,PB9_Kattegat_Atlantic_Spring,,,,,pooled male and female,,no,,,,,UPPSALA UNIVERSITY,SRA1619254,,public,12AD0E8FE6D5848297862F68F3A87BD6,11F8883B9B2FB09D8B46B8F71CC92217
SRR24138627,2023-04-12 04:10:58,2023-04-12 04:08:17,16652752,3219194970,16652752,193,2141,,https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR24138627/SRR24138627,SRX19937350,PB9_Kattegat_Atlantic_Spring_rg4,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP269168,PRJNA642736,,642736,SRS17286118,SAMN34152193,simple,7950,Clupea harengus,PB9_Kattegat_Atlantic_Spring,,,,,pooled male and female,,no,,,,,UPPSALA UNIVERSITY,SRA1619254,,public,0847FD244653CD14BAE7653FD23EFFA0,4A3102EA1BFE7985DDD08A90D4AA4084
SRR24138628,2023-04-12 04:10:58,2023-04-12 04:08:52,16411598,3173786056,16411598,193,2103,,https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR24138628/SRR24138628,SRX19937349,PB9_Kattegat_Atlantic_Spring_rg3,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP269168,PRJNA642736,,642736,SRS17286118,SAMN34152193,simple,7950,Clupea harengus,PB9_Kattegat_Atlantic_Spring,,,,,pooled male and female,,no,,,,,UPPSALA UNIVERSITY,SRA1619254,,public,74F046C82977020D7097C04E3699300B,5C4FD81F5B1170DD3AE01B8CDA468ACF
SRR24138619,2023-04-12 04:10:58,2023-04-12 04:09:32,14221967,2779762841,14221967,195,1717,,https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR24138619/SRR24138619,SRX19937358,PN3_CentralBaltic_Baltic_Spring_rg1,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP269168,PRJNA642736,,642736,SRS17286119,SAMN34152196,simple,7950,Clupea harengus,PN3_CentralBaltic_Baltic_Spring,,,,,pooled male and female,,no,,,,,UPPSALA UNIVERSITY,SRA1619254,,public,012B603183FF7465F1691BCCE4E316D7,2D94229A1DCE0FBEDF606FD5F515B0F0
SRR24138620,2023-04-12 04:32:06,2023-04-12 04:21:22,14910759,2915424571,14910759,195,1789,,https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR24138620/SRR24138620,SRX19937357,PN3_CentralBaltic_Baltic_Spring_rg11,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP269168,PRJNA642736,,642736,SRS17286119,SAMN34152196,simple,7950,Clupea harengus,PN3_CentralBaltic_Baltic_Spring,,,,,pooled male and female,,no,,,,,UPPSALA UNIVERSITY,SRA1619254,,public,251F595D10C774F9E46D0800131947C8,607160DE1F0EE106AFCE4CE5E0AF2EBC
SRR24138621,2023-04-12 04:18:10,2023-04-12 04:11:04,14637537,2861983632,14637537,195,1752,,https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR24138621/SRR24138621,SRX19937356,PN3_CentralBaltic_Baltic_Spring_rg10,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP269168,PRJNA642736,,642736,SRS17286119,SAMN34152196,simple,7950,Clupea harengus,PN3_CentralBaltic_Baltic_Spring,,,,,pooled male and female,,no,,,,,UPPSALA UNIVERSITY,SRA1619254,,public,DC6B46F5A2F4C42FB840FEB5B321EA17,64EB9ED92399C57730BA03AEE09DEBED
SRR24138611,2023-04-12 04:10:58,2023-04-12 04:06:20,13005031,2518182608,13005031,193,1671,,https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR24138611/SRR24138611,SRX19937366,PN3_CentralBaltic_Baltic_Spring_rg8,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP269168,PRJNA642736,,642736,SRS17286119,SAMN34152196,simple,7950,Clupea harengus,PN3_CentralBaltic_Baltic_Spring,,,,,pooled male and female,,no,,,,,UPPSALA UNIVERSITY,SRA1619254,,public,17DDF70F0C865F967720C0D099F01C36,163A3A1FE0A91EE6DD653A217525EA6F
SRR24138612,2023-04-12 04:15:06,2023-04-12 04:10:01,13076819,2532352376,13076819,193,1680,,https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR24138612/SRR24138612,SRX19937365,PN3_CentralBaltic_Baltic_Spring_rg7,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP269168,PRJNA642736,,642736,SRS17286119,SAMN34152196,simple,7950,Clupea harengus,PN3_CentralBaltic_Baltic_Spring,,,,,pooled male and female,,no,,,,,UPPSALA UNIVERSITY,SRA1619254,,public,BD8BB85DB54A275029B08B56D23242E7,4BF4C321CE7C09C932D9EF6FA8DD1D6C
SRR24138613,2023-04-12 04:10:58,2023-04-12 04:08:36,13147268,2545440491,13147268,193,1690,,https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR24138613/SRR24138613,SRX19937364,PN3_CentralBaltic_Baltic_Spring_rg6,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP269168,PRJNA642736,,642736,SRS17286119,SAMN34152196,simple,7950,Clupea harengus,PN3_CentralBaltic_Baltic_Spring,,,,,pooled male and female,,no,,,,,UPPSALA UNIVERSITY,SRA1619254,,public,6AE24245675E35DB579FB333364145EE,AE9CC39751F197C8C571A20B834D5B0C
SRR24138614,2023-04-12 04:10:58,2023-04-12 04:07:33,13237579,2563757300,13237579,193,1700,,https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR24138614/SRR24138614,SRX19937363,PN3_CentralBaltic_Baltic_Spring_rg5,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP269168,PRJNA642736,,642736,SRS17286119,SAMN34152196,simple,7950,Clupea harengus,PN3_CentralBaltic_Baltic_Spring,,,,,pooled male and female,,no,,,,,UPPSALA UNIVERSITY,SRA1619254,,public,51920F2BAE60CCA263EE27F9D771FF09,B3EAD9FA2FA514BB41BDB4BB30667760
SRR24138615,2023-04-12 04:06:17,2023-04-12 04:04:51,13165596,2548838257,13165596,193,1694,,https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR24138615/SRR24138615,SRX19937362,PN3_CentralBaltic_Baltic_Spring_rg4,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP269168,PRJNA642736,,642736,SRS17286119,SAMN34152196,simple,7950,Clupea harengus,PN3_CentralBaltic_Baltic_Spring,,,,,pooled male and female,,no,,,,,UPPSALA UNIVERSITY,SRA1619254,,public,8862E315C6440F2BF27F160EF1163097,04289936E7F3CB976F3F63945C60EFF5
SRR24138616,2023-04-12 04:15:06,2023-04-12 04:10:35,13062067,2529661489,13062067,193,1675,,https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR24138616/SRR24138616,SRX19937361,PN3_CentralBaltic_Baltic_Spring_rg3,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP269168,PRJNA642736,,642736,SRS17286119,SAMN34152196,simple,7950,Clupea harengus,PN3_CentralBaltic_Baltic_Spring,,,,,pooled male and female,,no,,,,,UPPSALA UNIVERSITY,SRA1619254,,public,C740D80CF3BF4117A3F52602B012D92C,6F18FD74F771E7979A8AA3126EB79EAB
SRR24138617,2023-04-12 04:15:06,2023-04-12 04:10:23,14466082,2826794270,14466082,195,1747,,https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR24138617/SRR24138617,SRX19937360,PN3_CentralBaltic_Baltic_Spring_rg2,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP269168,PRJNA642736,,642736,SRS17286119,SAMN34152196,simple,7950,Clupea harengus,PN3_CentralBaltic_Baltic_Spring,,,,,pooled male and female,,no,,,,,UPPSALA UNIVERSITY,SRA1619254,,public,923E9601C1820BBB114EFCE287F462AA,B938D0A1723654F014EF942C78EE43F5
SRR24138806,2023-04-12 04:10:58,2023-04-12 04:08:33,15355850,2999225194,15355850,195,1859,,https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR24138806/SRR24138806,SRX19937367,PN3_CentralBaltic_Baltic_Spring_rg9,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP269168,PRJNA642736,,642736,SRS17286119,SAMN34152196,simple,7950,Clupea harengus,PN3_CentralBaltic_Baltic_Spring,,,,,pooled male and female,,no,,,,,UPPSALA UNIVERSITY,SRA1619254,,public,43D7254FFDC1CDF8A6AF3AAA62E3E598,32C5526E75F7B4FBD098FD21DAD522F9
SRR24153634,2023-04-13 15:32:41,2023-04-13 13:23:31,338574576,101572372800,338574576,300,31796,,https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR24153634/SRR24153634,SRX19951716,WGS_PTC,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP432443,PRJNA952212,,952212,SRS17299614,SAMN34068739,simple,9606,Homo sapiens,PTC,,,,,female,,no,,,,,BIOGENIUS,SRA1615540,,public,0FD23157B3C5C922138599FE945AA9F3,E5B37F8C2D8702EC52EE17B85E6B6A75
SRR24153635,2023-04-13 18:28:21,2023-04-13 16:47:11,349901982,104970594600,349901982,300,32766,,https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR24153635/SRR24153635,SRX19951715,WGS_ATC,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP432443,PRJNA952212,,952212,SRS17299613,SAMN34068738,simple,9606,Homo sapiens,ATC,,,,,female,,no,,,,,BIOGENIUS,SRA1615540,,public,87CD6565D50E4F8140125A2E987E8988,D24F240140821029860BC768C4DC5E96
SRR24153643,2023-04-13 15:32:41,2023-04-13 13:32:09,409716119,122914835700,409716119,300,36245,,https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR24153643/SRR24153643,SRX19951707,WGS_TPC1,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP432443,PRJNA952212,,952212,SRS17299611,SAMN34068741,simple,9606,Homo sapiens,TPC1,,,,,female,,no,,,,,BIOGENIUS,SRA1615540,,public,7ED53A25F609E3FA38039BD952FF9257,6BA515ED0B1D115299F3C921BFAA0A6B
SRR24153642,2023-04-13 18:28:21,2023-04-13 17:18:30,312310802,93693240600,312310802,300,29525,,https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR24153642/SRR24153642,SRX19951708,WGS_NC,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP432443,PRJNA952212,,952212,SRS17299612,SAMN34068740,simple,9606,Homo sapiens,NC,,,,,female,,no,,,,,BIOGENIUS,SRA1615540,,public,7833387F61549F8EE42D61141E9FF4AC,235A621B655803839F8C0A2ADD47EBFC
SRR24154599,2023-04-13 15:32:42,2023-04-13 14:29:33,84612588,25383776400,84612588,300,7608,,https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR24154599/SRR24154599,SRX19952657,desmognathus_apalachicolae_000,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP432476,PRJNA917157,,917157,SRS17300381,SAMN34166929,simple,43046,Desmognathus apalachicolae,Desmognathus apalachicolae,,,,,not determined,,no,,,,,IRIDIAN GENOMES,SRA1620119,,public,03065C5E4EDAA849B86882E848EB6510,CCFDA3CA12D0EB801393B81B3DE111D5
SRR24154633,2023-04-13 15:32:42,2023-04-13 14:24:09,58925029,17677508700,58925029,300,5132,,https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR24154633/SRR24154633,SRX19952691,desmognathus_carolinensis_000,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP432477,PRJNA917161,,917161,SRS17300416,SAMN34166941,simple,179529,Desmognathus carolinensis,Desmognathus carolinensis,,,,,not determined,,no,,,,,IRIDIAN GENOMES,SRA1620124,,public,417676EF43ABD09FB759996F0D27B681,213DC9E32E6E44C6CBE53AA84F3A5B6A
